Vin_V;Fsw_kHz;Vout_mean_V;Vout_max_steady_V;Vout_min_steady_V;Ripple_percent;Overshoot_percent;Static_error_V;Static_error_percent
285.0;180.0;29.546616;29.777473;29.251026;1.7817516;81.10662078857422;1.5466156;5.5236273
285.0;185.0;29.102604;29.342066;28.78213;1.9240084;83.2046127319336;1.1026039;3.937871
285.0;190.0;28.67209;28.8985;28.342102;1.9405576;81.81089782714844;0.67209053;2.4003234
285.0;195.0;28.24216;28.47003;27.918427;1.9531201;79.08186340332031;0.2421608;0.86485994
285.0;200.0;27.846952;28.08894;27.51493;2.061299;73.26939392089844;0.15304756;0.54659843
285.0;205.0;27.419107;27.671572;27.082344;2.1489675;64.54438781738281;0.58089256;2.0746162
285.0;210.0;27.003283;27.250711;26.697815;2.0475159;54.477298736572266;0.99671745;3.5597053
285.0;215.0;26.62877;26.85056;26.331419;1.9495465;42.80317687988281;1.3712292;4.897247
260.0;150.0;29.904879;30.379103;29.63851;2.4764955;33.257118225097656;1.9048786;6.803138
260.0;155.0;29.24742;29.677952;28.997719;2.325788;45.854610443115234;1.2474194;4.455069
260.0;170.0;27.698812;27.998465;27.435804;2.0313513;53.7198600769043;0.30118752;1.0756696
260.0;179.0;26.956278;27.197552;26.663376;1.9816382;64.53458404541016;1.0437222;3.727579
260.0;180.0;26.875269;27.114256;26.592136;1.9427508;65.06050872802734;1.1247311;4.0168967
260.0;185.0;26.469786;26.689474;26.18999;1.8870006;66.23843383789062;1.5302143;5.465051
260.0;190.0;26.068617;26.277788;25.782604;1.8995407;65.54521942138672;1.9313831;6.8977966
260.0;195.0;25.69166;25.882729;25.416433;1.8149674;62.84002685546875;2.30834;8.244072
260.0;200.0;25.31281;25.514463;25.012772;1.981968;57.43090438842773;2.687189;9.597104
260.0;205.0;24.939627;25.155523;24.630192;2.106413;49.85234451293945;3.0603733;10.929905
260.0;210.0;24.569862;24.812399;24.251835;2.2815106;40.10389709472656;3.4301376;12.250491
260.0;215.0;24.214363;24.432886;23.937525;2.0457335;39.59939193725586;3.785637;13.520132
300.0;155.0;33.912136;34.397728;33.585346;2.3955486;69.1612777709961;5.912136;21.11477
300.0;170.0;32.09193;32.436886;31.79425;2.0024827;77.43173217773438;4.0919304;14.614037
300.0;179.0;31.25248;31.51002;30.936176;1.836152;90.76171875;3.2524796;11.615998
300.0;180.0;31.157183;31.419178;30.823755;1.9110289;91.7671356201172;3.1571827;11.275653
300.0;185.0;30.686487;30.927853;30.3532;1.8726538;92.59300231933594;2.6864872;9.594597
300.0;190.0;30.223833;30.437138;29.91611;1.7238995;91.68668365478516;2.223833;7.9422607
300.0;195.0;29.775925;30.000553;29.463064;1.8051125;89.00517272949219;1.7759247;6.3425884
300.0;200.0;29.339436;29.58701;28.983137;2.0582273;82.75247192382812;1.3394356;4.7836986
300.0;205.0;28.903927;29.127853;28.569326;1.9323568;73.8714370727539;0.90392685;3.22831
300.0;210.0;28.480207;28.73725;28.13784;2.1046515;62.53401565551758;0.48020744;1.7150266
255.0;179.5;26.384796142578125;26.620105743408203;26.10296058654785;1.960011959075928;61.47251129150391;1.615203857421875;5.768585205078125
255.0;197.5;24.996421813964844;25.19683837890625;24.70622444152832;1.9627366065979004;57.31888961791992;3.003578186035156;10.727065086364746
255.0;192.0;25.39600372314453;25.59165573120117;25.117225646972656;1.868129014968872;61.397254943847656;2.6039962768554688;9.299986839294434
255.0;208.0;24.21218490600586;24.39208221435547;23.94102478027344;1.8629357814788816;41.00172805786133;3.7878150939941406;13.527910232543944
270.0;179.5;27.99370574951172;28.2322998046875;27.702356338500977;1.893080711364746;71.79581451416016;0.0062942504882812;0.0224794652312994
270.0;197.5;26.51776695251465;26.72927665710449;26.218482971191406;1.9262319803237915;66.8278579711914;1.4822330474853516;5.293689250946045
270.0;160.0;29.839570999145508;30.218976974487305;29.582490921020508;2.1330268383026123;45.77825927734375;1.839570999145508;6.569896697998047
270.0;192.0;26.9487533569336;27.15992927551269;26.653223037719727;1.880258560180664;71.2432861328125;1.0512466430664062;3.754452228546143
270.0;208.0;25.690763473510746;25.920669555664062;25.379371643066406;2.106974840164185;49.728965759277344;2.309236526489258;8.247273445129395
285.0;179.5;29.59532165527344;29.84213256835937;29.288686752319336;1.870044827461243;81.31085968017578;1.5953216552734375;5.697577476501465
285.0;197.5;28.041423797607425;28.26451301574707;27.718250274658203;1.9480563402175903;76.74874877929688;0.0414237976074218;0.1479421406984329
285.0;160.0;31.539512634277344;31.93996238708496;31.25695037841797;2.1655757427215576;54.04096221923828;3.539512634277344;12.641117095947266
285.0;192.0;28.4971923828125;28.720752716064453;28.151451110839844;1.9977463483810425;81.07710266113281;0.4971923828125;1.7756869792938232
285.0;208.0;27.174427032470703;27.42416954040528;26.85587310791016;2.0912914276123047;58.33396911621094;0.8255729675292969;2.948474884033203
260.0;159.0;28.798797607421875;29.177669525146484;28.55213737487793;2.172077178955078;39.04576873779297;0.798797607421875;2.852848529815674
260.0;179.5;26.914531707763672;27.14527130126953;26.640756607055664;1.8745067119598389;64.88835144042969;1.085468292236328;3.8766722679138175
260.0;197.5;25.50672149658203;25.69362068176269;25.23723030090332;1.7892946004867554;60.768096923828125;2.4932785034179688;8.904565811157227
260.0;192.0;25.913389205932617;26.117063522338867;25.6200008392334;1.9181692600250244;64.7164306640625;2.086610794067383;7.452181816101074
260.0;208.0;24.708236694335938;24.908201217651367;24.39728355407715;2.067803144454956;44.16412734985352;3.2917633056640625;11.75629711151123
300.0;179.5;31.199237823486328;31.45429039001465;30.88267707824707;1.8321387767791748;90.9157485961914;3.199237823486328;11.425848960876465
300.0;197.5;29.567441940307617;29.80883407592773;29.23374938964844;1.944993019104004;86.28363037109375;1.5674419403076172;5.598006725311279
300.0;160.0;33.25471496582031;33.694671630859375;32.943885803222656;2.2576823234558105;61.35872650146485;5.2547149658203125;18.7668399810791
300.0;192.0;30.0527458190918;30.29879379272461;29.717016220092773;1.9358549118041992;90.81501007080078;2.052745819091797;7.331234931945801
300.0;208.0;28.65708923339844;28.93694877624512;28.27996826171875;2.292558431625366;67.10222625732422;0.6570892333984375;2.3467471599578857
280.0;179.5;29.05522918701172;29.28530502319336;28.765241622924805;1.789913296699524;77.99787902832031;1.0552291870117188;3.768675804138184
280.0;197.5;27.526968002319336;27.73722648620605;27.23374557495117;1.829046010971069;74.136474609375;0.473031997680664;1.6893999576568604
